N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,label
135,82,166,5.3,0.74,0.27,14.71,147.87,53.86,47.16,54.12,mango
145,88,136,6.3,1.46,0.31,15.76,100.48,88.57,45.59,64.45,mango
81,76,136,4.8,1.44,0.22,8.18,134.97,73.02,31.52,74.15,mango
133,87,192,6.8,0.74,0.22,8.15,102.08,92.19,44.92,50.3,mango
144,85,190,7,0.65,0.24,17.03,174.27,53.8,43.84,66.57,mango
130,73,152,4.9,1.22,0.17,14.82,124.33,81.57,21.44,53.55,mango
81,77,151,5.6,1.43,0.32,11.18,70.99,82.76,30.27,52.31,mango
85,71,146,6.3,0.94,0.23,15.47,112.89,85.97,28.88,50.93,mango
82,86,168,6.5,0.95,0.24,9.8,184.17,70.09,23.98,67.82,mango
128,89,191,7,0.87,0.22,9.42,119.39,80.24,41.18,54.29,mango
129,81,151,5.6,1.07,0.17,13.47,78.29,80.8,35.74,54.17,mango
132,73,197,6.4,0.9,0.3,18,63.61,70.04,45.15,70.02,mango
106,73,191,5,0.98,0.24,15.2,115.72,71.66,28.04,69.75,mango
149,76,137,5.4,0.53,0.31,10.38,199.66,75.32,30.91,70.86,mango
143,70,156,6.9,1.08,0.28,19.42,155.4,67.34,44.3,61.14,mango
82,80,149,5.4,1.36,0.32,10.23,125.26,50.5,22.45,57.32,mango
133,84,143,5.9,0.54,0.21,8.66,179.38,93.09,22.96,64.98,mango
97,83,144,4.7,1.33,0.33,18.13,167.25,57.47,21.4,66.93,mango
81,71,200,5.5,0.98,0.32,18.86,84.31,55.71,46.04,55.79,mango
116,88,193,6.8,1.16,0.15,19.09,160.72,50.75,30.52,73.35,mango
116,85,139,6.5,0.88,0.26,10.96,142.87,65.39,30.32,51.12,mango
112,81,138,4.8,0.84,0.2,10.61,158.96,57.34,23.21,71.31,mango
122,85,184,6.5,0.94,0.28,18.77,92.46,62.6,26.7,52.17,mango
88,78,171,6.5,0.8,0.2,13.79,169.65,88.96,32.04,59.77,mango
131,80,159,6.3,1,0.29,13.65,98.47,64.59,26.92,62.41,mango
125,73,146,6.1,1.07,0.26,8.41,156.85,54.11,36.71,63.81,mango
140,88,156,5.7,0.83,0.27,10.6,69.37,60.93,41.08,68.99,mango
115,86,131,5.3,0.8,0.23,9.09,111.15,81.54,37.04,68.36,mango
137,81,122,4.7,0.89,0.23,8.44,51.04,59.46,45.83,57.05,mango
129,76,169,5.1,1.06,0.25,12.33,89.79,87.9,31.5,58.32,mango
120,81,134,5.3,1.49,0.16,13.41,134.52,96.6,41.39,71.43,mango
103,87,182,5.1,1.1,0.25,11.75,182.53,71.27,24.36,52.73,mango
126,80,161,5.8,0.74,0.34,14.23,158.95,63.24,47.82,73.14,mango
90,77,124,6,1.18,0.31,12.29,187.65,70.65,42.9,73,mango
129,80,146,5.7,1.45,0.29,17.4,182.3,83.22,26.85,59.76,mango
129,76,190,6.5,0.57,0.33,14.35,178.82,91.08,30.23,53.52,mango
100,83,170,6.3,0.71,0.17,18.47,157.91,88.5,33.82,65.78,mango
109,72,185,6.1,0.88,0.27,8.99,179.75,65.98,48.29,74.03,mango
120,76,124,4.9,0.5,0.29,14.42,128.4,71.42,33.21,70.96,mango
123,81,126,5.4,1.19,0.21,17.92,98.48,79.91,49.91,56.88,mango
100,86,188,4.5,1.5,0.34,8.16,107.13,81.09,45.14,52.47,mango
132,80,156,5.4,1.09,0.17,9.54,136.22,53.68,26.69,68.39,mango
118,74,165,6.6,0.63,0.34,13.95,132.96,81.76,41.04,71.78,mango
105,82,195,6.2,1.18,0.22,15.66,59.27,85.65,34.64,68.93,mango
148,74,196,5.4,0.8,0.31,17.92,147.96,78.05,23.14,67.2,mango
121,45,61,6.1,0.9,0.189,12.01,132.03,120.31,32.21,29.1,mango
124,34,102,5.6,0.23,0.132,12.3,143.3,122.4,48.21,48.21,mango
131,24,61,6.5,0.74,0.206,30.01,209.2,992.78,29.4,17.02,mango
126,31,56,6.2,0.51,0.312,22.32,165.2,302.2,25.99,25.21,mango
154,60,68,6.1,0.11,0.03,20.17,89.54,124.37,38.58,25.3,grapes
154,65,88,6.1,0.15,0.065,13.21,79.73,45.97,32.44,45.9,grapes
157,35,62,5.9,0.2,0.105,12.01,149.89,98.51,38.97,28.68,grapes
174,35,72,6.2,0.11,0.048,24.4,81.25,130.27,48.97,28.33,grapes
154,35,93,5.7,0.16,0.139,12.75,66.39,54.01,45.19,29.05,grapes
141,42,76,6.3,0.15,0.127,18.6,135.09,145.14,47.87,47.91,grapes
101,32,91,6.1,0.12,0.138,24.13,110.32,51.64,42.05,34.34,grapes
104,63,76,5.6,0.13,0.196,16.26,132.54,63.94,36.44,33.4,grapes
155,59,62,6.1,0.13,0.168,21.23,123.43,143.6,32.12,37.48,grapes
109,54,67,6.5,0.2,0.03,12.74,130.43,33.9,42.2,49.29,grapes
175,50,65,5.6,0.19,0.068,16.92,96.64,91.18,44.15,46.69,grapes
153,66,64,5.8,0.18,0.086,13.77,54.1,147.49,40.98,46.51,grapes
145,55,72,5.6,0.2,0.152,12.36,94.31,126.75,39.56,30.38,grapes
112,36,88,6.3,0.2,0.154,5.97,147.11,113.15,36.75,44.72,grapes
110,48,83,5.5,0.12,0.048,11.69,108.69,140.64,48.27,39.05,grapes
143,59,95,6.2,0.22,0.029,23.11,126.22,66.97,45.86,27.25,grapes
160,37,74,5.9,0.16,0.097,5.07,122.51,112.08,38.31,38.49,grapes
144,43,77,6.3,0.19,0.084,10.38,109.01,77.04,30.59,25.51,grapes
171,44,76,5.9,0.19,0.165,17.05,99.76,52.69,43.1,26.33,grapes
132,60,90,5.9,0.14,0.183,24.81,114.52,145.36,40.77,37.36,grapes
113,32,62,5.8,0.14,0.156,9.51,73.86,126.93,46.06,26.58,grapes
145,43,89,5.9,0.2,0.126,5.56,84.79,93.06,32.96,47.63,grapes
178,43,95,6.2,0.13,0.109,14.91,131.24,139.98,37.66,48.19,grapes
103,61,66,5.6,0.17,0.135,5.6,92.74,40.6,33.96,39.59,grapes
138,55,94,5.6,0.17,0.018,18.61,58.74,39.78,38.4,38.75,grapes
112,44,89,5.9,0.15,0.169,23.17,71.36,43.41,44.93,27.84,grapes
164,55,94,6.4,0.14,0.071,16.15,60.24,99.57,33.07,28.04,grapes
112,30,89,6.4,0.19,0.058,17.96,100.47,109.6,44.27,27.97,grapes
115,59,70,6.2,0.15,0.037,12.9,97.48,82.74,43.53,49.16,grapes
169,37,69,6,0.23,0.175,18.88,139.12,106.28,39.89,48.73,grapes
129,69,62,5.7,0.2,0.026,14.83,70.54,35.31,30.22,47.12,grapes
138,31,90,5.7,0.22,0.118,10.32,126.06,125.6,35.25,36.66,grapes
146,37,72,6.4,0.18,0.155,20.66,121.27,47.06,47.95,38.34,grapes
117,52,70,6.1,0.12,0.094,13.4,71.52,86.25,42.06,48.22,grapes
101,35,93,6.2,0.17,0.055,20.46,73.8,129.76,33.22,36.06,grapes
110,36,66,6.5,0.2,0.177,13.75,58.9,71.59,39.09,43.98,grapes
127,37,85,5.8,0.11,0.074,16.91,105.31,107.2,31.54,28.53,grapes
144,36,77,6.3,0.16,0.176,14.29,109.33,50.24,49.12,34.73,grapes
157,48,96,5.6,0.17,0.077,16.42,50.11,49.38,37.58,44.25,grapes
112,51,82,6.5,0.14,0.026,11.12,103.8,78.74,32.85,35.88,grapes
105,38,73,6.1,0.12,0.164,10.85,121.53,52.55,34.12,34.97,grapes
111,51,65,5.7,0.17,0.035,18.11,148.12,96.33,49.96,33.7,grapes
119,67,64,5.7,0.13,0.086,21.69,114.2,118.04,30.97,34.87,grapes
153,49,68,6.3,0.12,0.145,12.16,109.07,62.63,46.67,40.29,grapes
126,46,66,6.2,0.13,0.167,24.95,145.21,133.91,37.79,37.29,grapes
118,32,98,5.7,0.14,0.157,11.81,83.19,110.55,40.52,49.58,grapes
139,38,93,5.8,0.21,0.142,11.64,113.1,73.56,43.58,36.4,grapes
122,40,88,5.5,0.21,0.037,13.58,118.4,54.08,32.59,30.08,grapes
138,36,80,5.8,0.17,0.168,17.66,68.65,75.39,49.8,44.38,grapes
105,63,92,6.4,0.18,0.17,17.41,118.65,100.65,41.52,46.6,grapes
108,49,96,6.1,0.22,0.095,6.17,138.31,46.44,47.56,47.76,grapes
136,30,65,6,0.21,0.15,7.13,63.69,95.25,44.48,42.65,grapes
174,68,92,6.5,0.16,0.113,15.36,98.87,95.42,44.77,25.17,grapes
127,31,84,6.3,0.16,0.105,6.35,104.14,68.28,34.08,31.06,grapes
142,34,83,6.4,0.23,0.162,10.38,133.11,60.52,43.96,40.92,grapes
110,32,61,6.3,0.23,0.086,17.59,57.08,35.93,49.86,44.8,grapes
103,30,85,6.5,0.2,0.187,19.5,118.77,59.39,37.03,43.38,grapes
174,44,88,5.9,0.19,0.129,21.89,98.45,91.13,40.97,41.47,grapes
120,30,95,6,0.14,0.168,23.74,129.92,39.26,39.55,27.81,grapes
155,66,78,6.4,0.21,0.083,5.55,86.18,67.81,35.12,32.28,grapes
102,43,78,5.7,0.14,0.037,12.92,121,72.13,47.37,30.51,grapes
139,41,83,6,0.2,0.08,19.38,125.48,115.82,46.79,28.42,grapes
168,54,93,6.4,0.19,0.089,20.76,73.32,63.59,34.81,38.72,grapes
174,58,72,5.5,0.2,0.19,10.08,142.65,92.32,44.04,43.55,grapes
154,41,99,5.7,0.21,0.138,18.96,89.15,115.82,41.26,27.68,grapes
114,53,64,5.8,0.13,0.153,13.5,108.36,66.57,31.38,47.14,grapes
171,51,87,6.3,0.22,0.139,18.52,57.31,32.46,36.56,40.68,grapes
171,32,93,6,0.23,0.115,19.86,141.12,126.25,45.65,36.93,grapes
155,68,90,5.9,0.21,0.043,15.61,68.39,143.41,33.38,34.38,grapes
176,48,63,6.1,0.22,0.066,17.88,122.45,105.73,39.44,39.19,grapes
176,58,65,6.3,0.11,0.108,24.15,144.58,50.68,48.61,26.21,grapes
114,47,78,6.1,0.14,0.092,19.05,80.38,35.23,36.23,40.41,grapes
140,47,93,5.8,0.12,0.133,15.48,102.57,135.73,33.25,29.09,grapes
134,38,84,6.4,0.2,0.187,15.31,142.59,85.77,43.85,45.08,grapes
152,65,92,6,0.15,0.135,18.51,146.74,103.49,32.97,47.64,grapes
116,67,61,5.6,0.16,0.112,15.7,91.5,147.28,37.93,29.82,grapes
151,62,82,5.8,0.16,0.111,8.35,109.41,142.26,40.95,27.83,grapes
111,64,62,5.7,0.16,0.135,20.86,60.16,111.83,34.16,39.67,grapes
160,35,80,5.9,0.23,0.109,15.84,87.43,145.86,37.01,42.23,grapes
145,48,81,6.4,0.15,0.178,8.66,129.52,143.29,47.53,45.15,grapes
119,48,89,5.6,0.23,0.097,13.52,66.62,49.53,49.77,43.82,grapes
170,40,69,6.1,0.11,0.064,20.62,132.94,57.34,37.02,39.3,grapes
129,52,64,5.6,0.12,0.037,24.73,105.14,114.21,49.74,38.4,grapes
148,34,98,6.3,0.19,0.13,19.68,145.22,120.58,32.43,44.26,grapes
161,47,61,6.5,0.2,0.149,12.82,123.14,96.12,49.67,47.79,grapes
175,41,81,5.8,0.11,0.093,8.29,74.26,101.88,47.23,39.42,grapes
175,47,60,6.3,0.18,0.145,7.29,115.34,87.72,42.14,30.5,grapes
154,69,88,5.6,0.16,0.043,14.62,102,45.64,47.74,35.59,grapes
161,69,60,6.4,0.2,0.138,5,52.11,60.91,48.68,25.97,grapes
179,59,88,6.3,0.2,0.043,10.62,100.56,134.01,47.56,34.14,grapes
165,35,92,5.8,0.21,0.019,18.08,84.9,100.74,45.26,34.52,grapes
147,60,64,6.2,0.12,0.043,15.39,70.29,140.79,34.46,36.79,grapes
148,54,79,5.7,0.18,0.022,16.81,88.26,89.39,30.59,49.41,grapes
110,47,93,5.9,0.17,0.029,16.42,142.64,52.27,30.64,40.21,grapes
105,52,87,6.4,0.2,0.177,9.41,125.32,145.88,49.41,29.37,grapes
128,33,66,6,0.12,0.166,9.78,125.83,121.09,30.51,38.41,grapes
153,35,96,6.5,0.23,0.139,7.54,91.72,39.13,42.86,30.82,grapes
160,52,66,6.2,0.17,0.049,19.64,87.3,30.01,44.99,39.57,grapes
125,44,62,6.2,0.11,0.187,11.89,133.79,120.35,31.75,28.91,grapes
120,33,100,5.8,0.22,0.131,11.6,144.3,124.53,47.92,47.65,grapes
142,27,57,6.2,0.8,0.223,23.32,117.1,678.21,21.32,11.31,grapes
132,29,82,6.7,0.2,0.198,25.99,255.99,273.04,25.32,12.85,grapes
177,76,301,7.2,1.45,0.0232,12.43,165.21,64.55,17.99,7.38,grapes
172,95,342,6.5,0.83,0.0142,16.01,205.77,60.21,20.01,4.36,grapes
133,25,64,6.8,0.78,0.239,29.19,211.08,995.84,29.7,26.51,mulberry
129,29,55,6,0.53,0.295,22.48,164.02,305.54,26.34,16.09,mulberry
133,14,110,6.2,0.85,0.297,17.95,108.88,1490.6,24.48,13.55,mulberry
147,15,75,6.1,0.23,0.24,31.4,258.32,986.31,24.64,24.99,mulberry
116,22,76,6.4,0.43,0.248,30.93,276.72,563.72,27.87,21.1,mulberry
126,12,53,6.2,0.11,0.203,24.51,195.22,566.63,27.67,14.94,mulberry
173,13,66,6.7,0.87,0.221,23.78,232.42,221.47,22.94,19.06,mulberry
121,26,54,6.6,0.77,0.254,20.4,214.29,1076.67,24.33,13.47,mulberry
124,19,72,6.4,0.32,0.204,26.86,251.61,1195.74,24.69,16.06,mulberry
139,20,76,6.5,0.41,0.222,21.05,254.19,517.91,29.49,17.2,mulberry
145,14,68,6.6,0.71,0.202,21.04,260.73,1454.81,26.85,21.06,mulberry
162,29,60,6.4,0.53,0.265,28.61,163.46,1420.72,28.82,13.65,mulberry
177,21,71,6,0.48,0.273,19.91,134.31,1111.6,22.31,22.53,mulberry
118,14,72,6.8,0.2,0.208,24.72,275.89,1307.7,26.92,15.8,mulberry
112,18,51,6.3,0.31,0.211,22.37,160.55,1206.77,21.8,18.4,mulberry
162,16,67,6.2,0.32,0.218,22.53,139.76,469.08,27.57,30,mulberry
149,23,72,6,0.23,0.293,30.7,209.9,453.21,27.95,26.99,mulberry
114,11,70,6.2,0.54,0.249,33.32,130.21,461.73,28.37,20.66,mulberry
